source,section,title,location,path
S01,0,퍼널이란 무엇인가,페이지-034,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,1,비밀 공식,페이지-053,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,2,"후크, 스토리, 제안",페이지-070,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,3,가치 사다리,페이지-095,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,4,매력적인 캐릭터,페이지-126,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,5,퍼널 해킹,페이지-149,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,6,퍼널의 일곱 단계,페이지-157,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,7,후속 퍼널,페이지-176,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,8,리드 ‘스퀴즈’ 퍼널,페이지-227,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,9,서베이 퍼널,페이지-237,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,10,서밋 퍼널,페이지-246,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,11,책 퍼널,페이지-274,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,12,장바구니 퍼널,페이지-290,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,13,도전 퍼널,페이지-305,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,14,영상 세일즈레터 퍼널,페이지-327,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,15,웨비나 퍼널,페이지-335,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,16,제품 출시 퍼널,페이지-351,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,17,신청서 퍼널,페이지-365,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,18,‘호기심에 기반을 둔 헤드라인’ 스크립트,페이지-386,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,19,‘누가 무엇을 왜 어떻게’ 스크립트,페이지-401,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,20,"‘스타, 스토리, 솔루션’ 스크립트",페이지-408,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,21,‘단 한 번의 제안OTO’스크립트,페이지-425,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,22,‘완벽한 웨비나’ 스크립트,페이지-435,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,23,‘제품 출시’ 스크립트,페이지-451,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,24,‘네 가지 질문의 판매 종결’ 스크립트,페이지-465,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,25,‘판매 설정자’ 스크립트와 ‘판매 종결자’ 스크립트,페이지-474,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
S01,26,클릭퍼널스로 퍼널 만들기,페이지-495,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/마케팅 설계자.md
